grade,model,prompt,controllability_score
4,claude-sonnet-4-5-20250929,combined,0.17221104404202994
4,claude-sonnet-4-5-20250929,few_shot,0.06216022994635169
4,claude-sonnet-4-5-20250929,rule_based,0.17067108533554268
4,deepseek-chat,combined,0.17429993001487185
4,deepseek-chat,few_shot,-0.0010939152702777936
4,deepseek-chat,rule_based,0.0977008294828258
4,gpt-4o,combined,0.31482756835128417
4,gpt-4o,few_shot,0.051980633802816874
4,gpt-4o,rule_based,0.31725352112676053
5,claude-sonnet-4-5-20250929,combined,0.11898361495135688
5,claude-sonnet-4-5-20250929,few_shot,-0.09297897740433685
5,claude-sonnet-4-5-20250929,rule_based,0.15627240143369175
5,deepseek-chat,combined,0.25372072558163433
5,deepseek-chat,few_shot,-0.008647601277404991
5,deepseek-chat,rule_based,0.09135337053117563
5,gpt-4o,combined,0.2047363031233999
5,gpt-4o,few_shot,0.013912469345406573
5,gpt-4o,rule_based,0.23355676581483034
