grade,model,prompt,mean_acc,std_acc
4,claude-sonnet-4-5-20250929,combined,0.3984848484848485,0.014839176567113437
4,claude-sonnet-4-5-20250929,few_shot,0.6871212121212121,0.00981422756676021
4,claude-sonnet-4-5-20250929,rule_based,0.1987373737373737,0.00977021032632932
4,deepseek-chat,combined,0.7132575757575758,0.009024720104006075
4,deepseek-chat,few_shot,0.911489898989899,0.004234977230113225
4,deepseek-chat,rule_based,0.795959595959596,0.006942132741011251
4,gpt-4o,combined,0.43156565656565654,0.014071847327755339
4,gpt-4o,few_shot,0.6039141414141415,0.012473910785096246
4,gpt-4o,rule_based,0.44393939393939397,0.01319512503516957
5,claude-sonnet-4-5-20250929,combined,0.2803030303030303,0.010394750616689145
5,claude-sonnet-4-5-20250929,few_shot,0.7464646464646465,0.00963062404046946
5,claude-sonnet-4-5-20250929,rule_based,0.10075757575757575,0.004937089299948829
5,deepseek-chat,combined,0.675,0.007145007140226492
5,deepseek-chat,few_shot,0.919949494949495,0.0039526454147723435
5,deepseek-chat,rule_based,0.8272727272727273,0.003952645414772366
5,gpt-4o,combined,0.40505050505050505,0.010699755189665597
5,gpt-4o,few_shot,0.4962121212121212,0.010192714868279596
5,gpt-4o,rule_based,0.403030303030303,0.013866841844149741
