grade,model,prompt,diagonal_mean,offdiag_mean
4,claude-sonnet-4-5-20250929,combined,0.7807539682539681,0.17498677248677244
4,claude-sonnet-4-5-20250929,few_shot,0.22604535053047634,-0.03110255876846271
4,claude-sonnet-4-5-20250929,rule_based,0.6174632352941176,0.3853553921568627
4,deepseek-chat,combined,0.3626894409937888,0.02185714285714285
4,deepseek-chat,few_shot,0.0096320346320346,-0.014484848484848491
4,deepseek-chat,rule_based,0.21203886693017127,0.016930171277997334
4,gpt-4o,combined,0.623235294117647,0.046315359477124146
4,gpt-4o,few_shot,0.12557692307692303,-0.022339743589743586
4,gpt-4o,rule_based,0.7337301587301587,0.007936507936507943
5,claude-sonnet-4-5-20250929,combined,0.7592063492063491,0.5013492063492064
5,claude-sonnet-4-5-20250929,few_shot,0.0974512743628186,-0.18930797759015225
5,claude-sonnet-4-5-20250929,rule_based,0.8666666666666666,0.5388888888888889
5,deepseek-chat,combined,0.5250696933492632,0.018359219434488264
5,deepseek-chat,few_shot,0.007638116425658134,0.015684093437152383
5,deepseek-chat,rule_based,0.261575361512792,0.012161661104931382
5,gpt-4o,combined,0.38333333333333336,0.0037301587301587467
5,gpt-4o,few_shot,0.08771929824561409,-0.03888888888888881
5,gpt-4o,rule_based,0.5036075036075035,0.04372294372294372
