grade,model,prompt,profile_fidelity_rmse
4,claude-sonnet-4-5-20250929,combined,0.2629298300890533
4,claude-sonnet-4-5-20250929,few_shot,0.4242895538783307
4,claude-sonnet-4-5-20250929,rule_based,0.2359601584804813
4,deepseek-chat,combined,0.39816946452252694
4,deepseek-chat,few_shot,0.6324418430111765
4,deepseek-chat,rule_based,0.5087728614832214
4,gpt-4o,combined,0.16239359063624872
4,gpt-4o,few_shot,0.4049889848282675
4,gpt-4o,rule_based,0.17190292679007615
5,claude-sonnet-4-5-20250929,combined,0.2302623952238632
5,claude-sonnet-4-5-20250929,few_shot,0.5015073214194387
5,claude-sonnet-4-5-20250929,rule_based,0.1039277121987401
5,deepseek-chat,combined,0.3258801606221437
5,deepseek-chat,few_shot,0.6503373797226472
5,deepseek-chat,rule_based,0.5156480509798196
5,gpt-4o,combined,0.2179852835213245
5,gpt-4o,few_shot,0.3220409796119383
5,gpt-4o,rule_based,0.19037961062077632
