grade,model,prompt,n_forget,IS_ACC_R,IS_ACC_F,PS_ACC_R,PS_ACC_F
4,claude-sonnet-4-5-20250929,explicit_decision,1,0.8822435897435897,0.0708974358974359,0.8990705128205128,0.8990705128205128
4,claude-sonnet-4-5-20250929,explicit_decision,2,0.8716880341880341,0.07128205128205128,0.8990705128205128,0.8990705128205128
4,claude-sonnet-4-5-20250929,explicit_decision,3,0.8990705128205128,0.06128205128205128,0.8990705128205128,0.8990705128205128
4,deepseek-chat,explicit_decision,1,0.83991452991453,0.18935897435897436,0.8986858974358976,0.8986858974358974
4,deepseek-chat,explicit_decision,2,0.8501923076923078,0.2136324786324786,0.8986858974358974,0.8986858974358974
4,deepseek-chat,explicit_decision,3,0.8365705128205128,0.18067307692307694,0.8986858974358974,0.8986858974358976
4,gpt-4o,explicit_decision,1,0.5936752136752137,0.19266025641025641,0.7088269230769231,0.7088269230769231
4,gpt-4o,explicit_decision,2,0.6246474358974359,0.23564102564102565,0.7088269230769231,0.7088269230769231
4,gpt-4o,explicit_decision,3,0.5763141025641025,0.25230769230769234,0.7088269230769231,0.7088269230769231
5,claude-sonnet-4-5-20250929,explicit_decision,1,0.8383838383838383,0.15151515151515152,0.8585858585858586,0.8585858585858586
5,claude-sonnet-4-5-20250929,explicit_decision,2,0.8484848484848485,0.12626262626262627,0.8585858585858586,0.8585858585858586
5,deepseek-chat,explicit_decision,1,0.9242424242424243,0.31313131313131315,0.888888888888889,0.888888888888889
5,deepseek-chat,explicit_decision,2,0.9191919191919192,0.3686868686868687,0.888888888888889,0.888888888888889
5,gpt-4o,explicit_decision,1,0.5505050505050505,0.21212121212121215,0.5757572323232324,0.5757572323232324
5,gpt-4o,explicit_decision,2,0.5858585858585859,0.20707070707070707,0.5757572323232324,0.5757572323232324
