model,grade,prompt,student_id,n_missing,pearson_r
claude-sonnet-4-5-20250929,4,combined,11,1,0.99476391943716
claude-sonnet-4-5-20250929,4,combined,7,1,0.992860785303285
claude-sonnet-4-5-20250929,4,combined,3,2,0.9681984244105092
claude-sonnet-4-5-20250929,4,combined,4,3,0.7237129257477108
claude-sonnet-4-5-20250929,4,combined,5,2,0.637619802206142
claude-sonnet-4-5-20250929,4,combined,10,2,0.6276482275822829
claude-sonnet-4-5-20250929,4,combined,6,2,0.5919819708835513
claude-sonnet-4-5-20250929,4,combined,2,3,0.5731831646435628
claude-sonnet-4-5-20250929,4,combined,12,2,0.5562704590416417
claude-sonnet-4-5-20250929,4,combined,9,2,0.4717283851894748
claude-sonnet-4-5-20250929,4,combined,1,3,0.46303184328185554
claude-sonnet-4-5-20250929,4,combined,8,3,0.3704545701852683
claude-sonnet-4-5-20250929,4,combined,13,1,0.18323842353236405
claude-sonnet-4-5-20250929,4,combined,14,1,0.05645544841427063
claude-sonnet-4-5-20250929,4,few_shot,4,3,0.9978700745473909
claude-sonnet-4-5-20250929,4,few_shot,7,1,0.9474283486917725
claude-sonnet-4-5-20250929,4,few_shot,5,2,0.8934636662508516
claude-sonnet-4-5-20250929,4,few_shot,1,3,0.30606073419935803
claude-sonnet-4-5-20250929,4,few_shot,12,2,0.2797939918896174
claude-sonnet-4-5-20250929,4,few_shot,6,2,0.20964274704611105
claude-sonnet-4-5-20250929,4,few_shot,2,3,0.19528654959524122
claude-sonnet-4-5-20250929,4,few_shot,13,1,0.08129738252170435
claude-sonnet-4-5-20250929,4,few_shot,3,2,0.020399668712069944
claude-sonnet-4-5-20250929,4,few_shot,14,1,-0.15669273454258026
claude-sonnet-4-5-20250929,4,few_shot,9,2,-0.40893012367510995
claude-sonnet-4-5-20250929,4,few_shot,11,1,-0.6647256570892304
claude-sonnet-4-5-20250929,4,few_shot,8,3,-0.8208891021336603
claude-sonnet-4-5-20250929,4,few_shot,10,2,-0.9523440757991589
claude-sonnet-4-5-20250929,4,rule_based,11,1,0.9967696960833671
claude-sonnet-4-5-20250929,4,rule_based,7,1,0.9661348788687172
claude-sonnet-4-5-20250929,4,rule_based,3,2,0.9602645847485085
claude-sonnet-4-5-20250929,4,rule_based,4,3,0.9197452464970831
claude-sonnet-4-5-20250929,4,rule_based,6,2,0.9053783596984629
claude-sonnet-4-5-20250929,4,rule_based,12,2,0.8109884346777574
claude-sonnet-4-5-20250929,4,rule_based,5,2,0.7886618947505462
claude-sonnet-4-5-20250929,4,rule_based,14,1,0.780221735427478
claude-sonnet-4-5-20250929,4,rule_based,10,2,0.7129467720292164
claude-sonnet-4-5-20250929,4,rule_based,2,3,0.6878221340318488
claude-sonnet-4-5-20250929,4,rule_based,9,2,0.6176726037562366
claude-sonnet-4-5-20250929,4,rule_based,1,3,0.5998066325200029
claude-sonnet-4-5-20250929,4,rule_based,13,1,0.578794633992502
claude-sonnet-4-5-20250929,4,rule_based,8,3,0.46793568049682444
claude-sonnet-4-5-20250929,5,combined,5,1,0.9958705948858222
claude-sonnet-4-5-20250929,5,combined,6,1,0.9912407071619301
claude-sonnet-4-5-20250929,5,combined,1,2,0.6185895741317421
claude-sonnet-4-5-20250929,5,combined,4,2,0.5960395606792696
claude-sonnet-4-5-20250929,5,combined,2,2,0.3054236108907628
claude-sonnet-4-5-20250929,5,combined,3,1,-0.11470786693528073
claude-sonnet-4-5-20250929,5,few_shot,5,1,0.9176629354822468
claude-sonnet-4-5-20250929,5,few_shot,1,2,0.8029550685469666
claude-sonnet-4-5-20250929,5,few_shot,4,2,0.27735009811261474
claude-sonnet-4-5-20250929,5,few_shot,3,1,5.298162818213048e-16
claude-sonnet-4-5-20250929,5,few_shot,6,1,-0.4999999999999998
claude-sonnet-4-5-20250929,5,few_shot,2,2,-0.9449111825230678
claude-sonnet-4-5-20250929,5,rule_based,4,2,0.9982211666911955
claude-sonnet-4-5-20250929,5,rule_based,5,1,0.99243368701167
claude-sonnet-4-5-20250929,5,rule_based,6,1,0.9843241382880892
claude-sonnet-4-5-20250929,5,rule_based,2,2,0.7145752309013801
claude-sonnet-4-5-20250929,5,rule_based,1,2,0.6449020216370244
claude-sonnet-4-5-20250929,5,rule_based,3,1,0.08219949365267853
